,title,price,stars,reviews
251,Micromax X512,"₹1,039",3.9,"4,039 Ratings & 391 Reviews"
252,Nokia 5310,"₹3,999",4.3,4 Ratings & 0 Reviews
253,Nokia 5310,"₹3,999",4.3,4 Ratings & 0 Reviews
254,Micromax X809,"₹1,155",3.9,918 Ratings & 85 Reviews
255,"OPPO F15 (Blazing Blue, 128 GB)","₹16,990",4.3,309 Ratings & 37 Reviews
256,Lava Hero,₹799,4,"1,131 Ratings & 114 Reviews"
257,"Samsung Galaxy A10s (Black, 32 GB)","₹10,890",4.3,"1,494 Ratings & 115 Reviews"
258,Snexian Rock,"₹1,285",3.9,"5,276 Ratings & 352 Reviews"
259,"Realme X (Space Blue, 128 GB)","₹17,999",4.5,"1,02,434 Ratings & 13,255 Reviews"
260,"Realme X (Space Blue, 128 GB)","₹20,999",4.5,"41,568 Ratings & 5,092 Reviews"
261,Kechaoda K115,₹894,4.1,"14,135 Ratings & 1,327 Reviews"
262,Kechaoda K115,₹925,4.1,"14,135 Ratings & 1,327 Reviews"
263,Kechaoda K115,₹899,4.1,"14,135 Ratings & 1,327 Reviews"
